_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
9371,13991066,584,Bloor St W,584 Bloor St W,M6G 1K4,former Toronto,Toronto,University-Rosedale (11),,115001,8353520,584,,,,458,,,-79.4126968512,43.6651092517,85,Bike Rack,,8,2.9,2017,,,11,"{u'type': u'Point', u'coordinates': (-79.4126936122, 43.6651006727)}"
9372,8416837,692,Bloor St W,692 Bloor St W,M6G 1L4,former Toronto,Toronto,University-Rosedale (11),,115001,8416823,692,,,,458,,,-79.4174364978,43.663985823999994,95,Bike Rack,Clinton Pl,16,2.9,2016,,,12,"{u'type': u'Point', u'coordinates': (-79.4174332539, 43.6639772448)}"
9373,7792587,790,Bay St,790 Bay St,M5G 1N8,former Toronto,Toronto,University-Rosedale (11),,104008,7792579,790,,,,2962,,,-79.3861783154,43.660454548699995,105,Bike Rack,Bay St,8,2.9,2016,,,13,"{u'type': u'Point', u'coordinates': (-79.3861750845, 43.6604459644)}"
9374,880972,241,Wellington St W,241 Wellington St W,,former Toronto,Toronto,Spadina-Fort York (10),,113001,1146352,241,,,,4652,,,-79.3900166399,43.6449607183,46,Bike Rack,John St,16,2.9,2016,,,14,"{u'type': u'Point', u'coordinates': (-79.3900134102, 43.6449521398)}"
9375,7994464,40,High Park Ave,40 High Park Ave,M6P 2S1,former Toronto,Toronto,Parkdale-High Park (4),,115001,7994458,40,,,,3660,,,-79.4663714027,43.6547197987,63,Bike Shelter,High Park Ave,20,10.0,2013,,,15,"{u'type': u'Point', u'coordinates': (-79.4663681479, 43.6547112224)}"
9376,856375,100,Queen St W,100 Queen St W,M5H 2N1,former Toronto,Toronto,Spadina-Fort York (10),Nathan Phillips Square,104001,1145216,100,,,,4238,,,-79.383625059,43.65282214,4,Bike Rack,Queen St W,120,2.9,2015,,,16,"{u'type': u'Point', u'coordinates': (-79.3836250552, 43.6528221423)}"
9377,856701,686,Queen St W,686 Queen St W,M6J 1E7,former Toronto,Toronto,Spadina-Fort York (10),,104008,1146191,686,,,,4238,,,-79.4079470332,43.6465867825,94,Bike Shelter,Euclid Ave,10,3.0,2015,,,17,"{u'type': u'Point', u'coordinates': (-79.4079437965, 43.6465782036)}"
9378,866475,180,Shaw St,180 Shaw St,M6J 2W5,former Toronto,Toronto,Spadina-Fort York (10),Givins/Shaw Ps Jr. & Sr.,102001,14018156,180,,,,4388,,,-79.4175895075,43.6469074879,28,Bike Shelter,Shaw St,18,7.6,2013,,,18,"{u'type': u'Point', u'coordinates': (-79.417586261, 43.6468989084)}"
9379,887713,1140,Yonge St,1140 Yonge St,M4W 2L8,former Toronto,Toronto,University-Rosedale (11),,112001,1140465,1140,,,,4733,,,-79.3910503989,43.679518828,11,Bike Rack,Malborough Ave,8,2.9,2016,,,19,"{u'type': u'Point', u'coordinates': (-79.3910471598, 43.679510244)}"
9380,310564,150,Borough Dr,150 Borough Dr,M1P 4N7,Scarborough,Toronto,Scarborough Centre (21),Albert Campbell Square,104001,107945,150,,,,7397,,,-79.257240956,43.772810588999995,22,Bike Rack,Borough Dr,8,2.9,2014,,,20,"{u'type': u'Point', u'coordinates': (-79.2572409578, 43.7728105867)}"
9381,7730108,350,Victoria St,350 Victoria St,M5B 2K3,former Toronto,Toronto,Toronto Centre (13),,115001,30060911,350,,,,9790,,,-79.380479827,43.65776563,55,Bike Rack,Gould St,8,2.9,2016,,,21,"{u'type': u'Point', u'coordinates': (-79.380479826, 43.6577656355)}"
9382,8353493,266,King St E,266 King St E,M5A 1K3,former Toronto,Toronto,Toronto Centre (13),,115001,8353517,266,,,,3779,,,-79.3663452803,43.6519713032,48,Bike Rack,Ontario St,8,2.9,2016,,,22,"{u'type': u'Point', u'coordinates': (-79.3663420506, 43.6519627217)}"
9383,7642554,277,Victoria St,277 Victoria St,M5B 1W2,former Toronto,Toronto,Toronto Centre (13),,104008,30075808,277,,,,9790,,,-79.37933857600001,43.656558913999994,50,Bike Rack,Dundas St E,8,2.9,2016,,,23,"{u'type': u'Point', u'coordinates': (-79.3793385702, 43.6565589128)}"
9384,10864283,28,Duncan St,28 Duncan St,,former Toronto,Toronto,Spadina-Fort York (10),,115001,14036084,28,,,,3331,,,-79.3892131181,43.6487897716,51,Bike Corral,Nelson St,14,5.5,2015,NO,,24,"{u'type': u'Point', u'coordinates': (-79.3892098796, 43.6487811931)}"
9385,30069161,35,York St,35 York St,M5J 0C7,former Toronto,Toronto,Spadina-Fort York (10),,108002,13975053,35,,,,4735,,,-79.381465101,43.64379067,54,Angled Bike Rack,Front St W,30,2.9,2015,,,25,"{u'type': u'Point', u'coordinates': (-79.3814651014, 43.6437906732)}"
9386,7929475,357,Bay St,357 Bay St,M5H 2T7,former Toronto,Toronto,Toronto Centre (13),,115001,7929469,357,,,,2962,,,-79.38088023739999,43.650842985,57,Bike Rack,Temperance St,8,2.9,2016,,,26,"{u'type': u'Point', u'coordinates': (-79.3808769999, 43.6508344042)}"
